,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
98,"RT @GruenePenzing: 🌈 Heute geht's los! 🥳
Die diesjährige #Regenbogenparade startet ab 13 Uhr am Rathausplatz!

Bist du dabei? 😎
#Pride2022…"," 🌈           '     ! 🥳
         ä      #                                                  !

             ? 😎
#         …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
101,Seit Anfang Mai sorgt der futuristische #Holz-#Pavillon zur 550-Jahr-Feier der #Augsburg|er #Fuggerei für Furore. J… https://t.co/k8HwbhxzQs,                                        #    -#                -    -          #        |   #          ü        .  …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
102,RT @VickySpielfrau: Happy #Pride 🦄🌈🏳️‍⚧️ Always remember: The first pride was a riot! Der Kampf um gleiche Rechte &amp; echten Diskriminierungs…,       #      🦄🌈🏳️‍⚧️                :                           !                             &   ;                        …,0.0,0.0,neutral,0.0,1.0,0.0,0.0
103,Happy #Pride 🦄🌈🏳️‍⚧️ Always remember: The first pride was a riot! Der Kampf um gleiche Rechte &amp; echten Diskriminier… https://t.co/1chAwLiPej,      #      🦄🌈🏳️‍⚧️                :                           !                             &   ;                    …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
104,"RT @TvEinsatz: 10:55 Der Ring ist im Bereich #Rathausplatz bereits gesperrt. Es finden letzte Aufbauarbeiten für die @ViennaPride statt.

#…","   :                           #                             .                                  ü             .

#…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
105,"@miichelleDeko Ich kann nicht wegen Social Anxiety und Panik bei Menschenmassen 🫡

Und die Strecke ist vom Rathausp… https://t.co/EXbwWVUMhn","                                                                   🫡

                                …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
106,"RT @Stadt_Wien: Gestern gab es noch die Regenparade, doch heute tanzen wir auf der Regenbogenparade! 🥳🏳‍🌈 Vom Rathausplatz geht's ab 13 Uhr…","                                    ,                                               ! 🥳🏳‍🌈                      '           …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
107,10:55 Der Ring ist im Bereich #Rathausplatz bereits gesperrt. Es finden letzte Aufbauarbeiten für die @ViennaPride… https://t.co/2fwMfBYLYh,  :                           #                             .                                  ü       …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
108,"@exxpressat Sind die 200.000 doppelt so viele wie die 100.000, die am 1. Mai bei der SPÖ am Rathausplatz gezählt wu… https://t.co/40tQPXEp3w","              .                                .   ,         .               ö                    ä      …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
109,"🌈 Heute geht's los! 🥳
Die diesjährige #Regenbogenparade startet ab 13 Uhr am Rathausplatz!

Bist du dabei? 😎… https://t.co/0AOBbBEgqC","🌈           '     ! 🥳
         ä      #                                                  !

             ? 😎…      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
112,"20.000 Euro Spenden fürs Paderquellgebiet bei Benefizkonzert gesammelt

Rund 20.000 Euro an Spenden sind am Abend a… https://t.co/ISAqoev1LW","  .                  ü                                                

       .                                   …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
116,"Gestern gab es noch die Regenparade, doch heute tanzen wir auf der Regenbogenparade! 🥳🏳‍🌈 Vom Rathausplatz geht's a… https://t.co/LiER0xJDYz","                                   ,                                               ! 🥳🏳‍🌈                      '   …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
117,Der erste Tag des Delmenhorster Streetfood-Festivals https://t.co/dBjAirOYVE #kreisblatt #delmenhorst,                                          -               :// .  /           #           #           ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
118,@FCAlukas @1893_Timoo @1893robbie @1905steven Altstadt/Königsplatz/Rathausplatz ist wo man sich aufhalten muss.,  @    _      @           @                   / ö         /                                           .,0.0,0.0,neutral,0.0,0.0,0.0,0.0
119,"@BlakesWort Klingt wie die ""Mutprobe"" Mal auf dem Rathausplatz Mal Parolen aus dem dritten Reich zu rufen und dann… https://t.co/ixi95kHMJU","                 ""        ""                                                                             …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
120,"RT @OBehindertenrat: Am 21. Juni findet um 16 Uhr am Wiener Rathausplatz eine #Demonstration statt, mit der Verbesserungen im #Pflichtschul…","      .                                                   #                   ,                           #            …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
121,@meskalinfeminin @Kruegerkrug gegen 19 uhr draußen aufm rathausplatz oder sonst kann man sich auch anschl zusammenschließen,                     ß                                                                        ß  ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
122,"RT @polizei_nrw_bi: #CSD in #Bielefeld 🏳️🌈

Und wir sind auch vor Ort. Unsere Kolleginnen der Kriminalprävention / Opferschutz nehmen morge…"," #       #          🏳️🌈

                         .                                  ä        /                         …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
123,"#CSD in #Bielefeld 🏳️🌈

Und wir sind auch vor Ort. Unsere Kolleginnen der Kriminalprävention / Opferschutz nehmen m… https://t.co/0OWYndzQ7i","#       #          🏳️🌈

                         .                                  ä        /                     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
124,"@FWWinterberg Wir haben damals zusammen mit dem Maler Arie Goral für das Heine Denkmal gekämpft, das jetzt auf dem… https://t.co/oRlUgny86v","                                                      ü                       ä    ,                  …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
125,Der #Wochenmarkt in #Delmenhorst findet am morgigen Sonnabend auf dem Hans-Böckler-Platz statt. Auf dem… https://t.co/Lb7qZg7Ucf,    #               #                                                     - ö     -           .        …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
127,"Am 21. Juni findet um 16 Uhr am Wiener Rathausplatz eine #Demonstration statt, mit der Verbesserungen im… https://t.co/qvBXfbGti1","     .                                                   #                   ,                          …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
128,"@micdaum @BlakesWort Sah erst vor zwei Stunden einen (weißen!) Kleinwagen mit Kennzeichen FÜ (""Fahrer Übt"") in der… https://t.co/Y81AgZPoRa","                                    (   ß  !)                             ü (""       ü  "")       …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
129,"Am übernächsten Sonntag findet endlich wieder der Sicherheitstag im #Polizei|präsidium #Gelsenkirchen statt.
⏰ Wann… https://t.co/EHgEwAinMk","   ü    ä                                                           #       |  ä       #                   .
⏰     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
130,"New #OpenMicStory Comedy, Akrobatik, Musik und Tanz: Hier wird der Rathausplatz zur Bühne https://t.co/PImjFwMY5u #xl8 #t9n","    #                   ,          ,               :                                 ü         :// .  /           #    #   ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
131,Augsburg bei Regen. @ Rathausplatz (Augsburg) https://t.co/P5tOVQJakF,                  . @              (        )      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
132,"RT @gb_he: Der 551. Kunde sagt: Gut, dass es die Volksbank Darmstadt - Südhessen eG, SB-Stelle Rathausplatz, Dornhei... https://t.co/hmO1nS…","        .           :    ,                                 -  ü          ,   -                   ,        ...      :// .  /      …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
133,"Der 551. Kunde sagt: Gut, dass es die Volksbank Darmstadt - Südhessen eG, SB-Stelle Rathausplatz, Dornhei... https://t.co/hmO1nS5P9M","       .           :    ,                                 -  ü          ,   -                   ,        ...      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
134,Komme aus einem Japanischen Film und da ist direkt auf dem Rathausplatz ein Koreanischer als Freiluftkino zu sehen 😂 https://t.co/kFnw87h0BB,                                                                                                                   😂      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
135,"@the_ron_21 @Pupsibaer Der Zutritt zur Frauenumkleide ist reglementiert, nicht öffentlich wie der Rathausplatz."," _   _                                                     ,       ö                              .",0.0,0.0,neutral,0.0,0.0,0.0,0.0
